HS_CODE,ship_type
29122900,Tanker
29124100,Tanker
29124200,Tanker
29124900,Tanker
29125000,Tanker
29126000,Tanker
29130000,Tanker
29141100,Tanker
29141200,Tanker
29141300,Tanker
29141900,Tanker
29142200,Tanker
29142300,Tanker
29142900,Tanker
29143100,Tanker
29143900,Tanker
29144000,Tanker
29145000,Tanker
29146100,Tanker
29146200,Tanker
29146900,Tanker
29147100,Tanker
29147900,Tanker
29151100,Tanker
29151200,Tanker
29151300,Tanker
29152100,Tanker
29152400,Tanker
29152900,Tanker
29153100,Tanker
29153200,Tanker
29153300,Tanker
29153600,Tanker
29153900,Tanker
29154000,Tanker
29155000,Tanker
29156000,Tanker
29157000,Tanker
29159000,Tanker
29161100,Tanker
29161200,Tanker
29161300,Tanker
29161400,Tanker
29161500,Tanker
29161600,Tanker
29161900,Tanker
29162000,Tanker
29163100,Tanker
29163200,Tanker
29163400,Tanker
29163900,Tanker
29171100,Tanker
29171200,Tanker
29171300,Tanker
29171400,Tanker
29171900,Tanker
29172000,Tanker
29173200,Tanker
29173300,Tanker
29173400,Tanker
29173500,Tanker
29173600,Tanker
29173700,Tanker
29173900,Tanker
29181100,Tanker
29181200,Tanker
29181300,Tanker
29181400,Tanker
29181500,Tanker
29181600,Tanker
29181700,Tanker
29181800,Tanker
29181900,Tanker
29182100,Tanker
29182200,Tanker
29182300,Tanker
29182900,Tanker
29183000,Tanker
29189100,Tanker
29189900,Tanker
29191000,Tanker
29199000,Tanker
29201100,Tanker
29201900,Tanker
29202100,Tanker
29202200,Tanker
29202300,Tanker
29202400,Tanker
29202900,Tanker
29203000,Tanker
29209000,Tanker
29211100,Tanker
29211200,Tanker
29211300,Tanker
29211400,Tanker
29211900,Tanker
29212100,Tanker
29212200,Tanker
29212900,Tanker
29213000,Tanker
29214100,Tanker
29214200,Tanker
29214300,Tanker
29214400,Tanker
29214500,Tanker
29214600,Tanker
29214900,Tanker
29215100,Tanker
29215900,Tanker
29221100,Tanker
29221200,Tanker
29221400,Tanker
29221500,Tanker
29221600,Tanker
29221700,Tanker
29221800,Tanker
29221900,Tanker
29222100,Tanker
29222900,Tanker
29223100,Tanker
29223900,Tanker
29224100,Tanker
29224200,Tanker
29224300,Tanker
29224400,Tanker
29224900,Tanker
29225000,Tanker
29231000,Tanker
29232000,Tanker
29233000,Tanker
29234000,Tanker
29239000,Tanker
29241100,Tanker
29241200,Tanker
29241900,Tanker
29242100,Tanker
29242300,Tanker
29242400,Tanker
29242500,Tanker
29242900,Tanker
29251100,Tanker
29251200,Tanker
29251900,Tanker
29252100,Tanker
29252900,Tanker
29261000,Tanker
29262000,Tanker
29263000,Tanker
29264000,Tanker
29269000,Tanker
29270000,Tanker
29280000,Tanker
29291000,Tanker
29299000,Tanker
29302000,Tanker
29303000,Tanker
29304000,Tanker
29306000,Tanker
29307000,Tanker
29308000,Tanker
29309000,Tanker
29311000,Tanker
29312000,Tanker
29313100,Tanker
29313200,Tanker
29313300,Tanker
29313400,Tanker
29313500,Tanker
29313600,Tanker
29313700,Tanker
29313800,Tanker
29313900,Tanker
29319000,Tanker
29321100,Tanker
29321200,Tanker
29321300,Tanker
29321400,Tanker
29321900,Tanker
29322000,Tanker
29329100,Tanker
29329200,Tanker
29329300,Tanker
29329400,Tanker
29329500,Tanker
29329900,Tanker
29331100,Tanker
29331900,Tanker
29332100,Tanker
29332900,Tanker
29333100,Tanker
29333200,Tanker
29333300,Tanker
29333900,Tanker
29334100,Tanker
29334900,Tanker
29335200,Tanker
29335300,Tanker
29335400,Tanker
29335500,Tanker
29335900,Tanker
29336100,Tanker
29336900,Tanker
29337100,Tanker
29337200,Tanker
29337900,Tanker
29339100,Tanker
29339200,Tanker
29339900,Tanker
29341000,Tanker
29342000,Tanker
29343000,Tanker
29349100,Tanker
29349900,Tanker
29351000,Tanker
29352000,Tanker
29353000,Tanker
29354000,Tanker
29355000,Tanker
